assists;baronKills;bountyLevel;12AssistStreakCount;abilityUses;acesBefore15Minutes;alliedJungleMonsterKills;baronTakedowns;blastConeOppositeOpponentCount;bountyGold;buffsStolen;completeSupportQuestInTime;controlWardsPlaced;damagePerMinute;damageTakenOnTeamPercentage;dancedWithRiftHerald;deathsByEnemyChamps;dodgeSkillShotsSmallWindow;doubleAces;dragonTakedowns;effectiveHealAndShielding;elderDragonKillsWithOpposingSoul;elderDragonMultikills;enemyChampionImmobilizations;enemyJungleMonsterKills;epicMonsterKillsNearEnemyJungler;epicMonsterKillsWithin30SecondsOfSpawn;epicMonsterSteals;epicMonsterStolenWithoutSmite;flawlessAces;fullTeamTakedown;gameLength;getTakedownsInAllLanesEarlyJungleAsLaner;goldPerMinute;hadAfkTeammate;hadOpenNexus;immobilizeAndKillWithAlly;initialBuffCount;initialCrabCount;jungleCsBefore10Minutes;junglerTakedownsNearDamagedEpicMonster;kTurretsDestroyedBeforePlatesFall;kda;killAfterHiddenWithAlly;killParticipation;killedChampTookFullTeamDamageSurvived;killsNearEnemyTurret;killsOnOtherLanesEarlyJungleAsLaner;killsOnRecentlyHealedByAramPack;killsUnderOwnTurret;killsWithHelpFromEpicMonster;knockEnemyIntoTeamAndKill;landSkillShotsEarlyGame;laneMinionsFirst10Minutes;legendaryCount;lostAnInhibitor;maxCsAdvantageOnLaneOpponent;maxKillDeficit;maxLevelLeadLaneOpponent;moreEnemyJungleThanOpponent;multiKillOneSpell;multiTurretRiftHeraldCount;multikills;multikillsAfterAggressiveFlash;outerTurretExecutesBefore10Minutes;outnumberedKills;outnumberedNexusKill;perfectDragonSoulsTaken;perfectGame;pickKillWithAlly;poroExplosions;quickCleanse;quickFirstTurret;quickSoloKills;riftHeraldTakedowns;saveAllyFromDeath;scuttleCrabKills;skillshotsDodged;skillshotsHit;snowballsHit;soloBaronKills;soloKills;soloTurretsLategame;stealthWardsPlaced;survivedSingleDigitHpCount;survivedThreeImmobilizesInFight;takedownOnFirstTurret;takedowns;takedownsAfterGainingLevelAdvantage;takedownsBeforeJungleMinionSpawn;takedownsFirstXMinutes;takedownsInAlcove;takedownsInEnemyFountain;teamBaronKills;teamDamagePercentage;teamElderDragonKills;teamRiftHeraldKills;threeWardsOneSweeperCount;tookLargeDamageSurvived;turretPlatesTaken;turretTakedowns;turretsTakenWithRiftHerald;twentyMinionsIn3SecondsCount;unseenRecalls;visionScoreAdvantageLaneOpponent;visionScorePerMinute;wardTakedowns;wardTakedownsBefore20M;wardsGuarded;champExperience;champLevel;championId;championName;championTransform;consumablesPurchased;damageDealtToBuildings;damageDealtToObjectives;damageDealtToTurrets;damageSelfMitigated;deaths;detectorWardsPlaced;doubleKills;dragonKills;eligibleForProgression;firstBloodAssist;firstBloodKill;firstTowerAssist;firstTowerKill;gameEndedInEarlySurrender;gameEndedInSurrender;goldEarned;goldSpent;individualPosition;inhibitorKills;inhibitorTakedowns;inhibitorsLost;item0;item1;item2;item3;item4;item5;item6;itemsPurchased;killingSprees;kills;lane;largestCriticalStrike;largestKillingSpree;largestMultiKill;longestTimeSpentLiving;magicDamageDealt;magicDamageDealtToChampions;magicDamageTaken;neutralMinionsKilled;nexusKills;nexusLost;nexusTakedowns;objectivesStolen;objectivesStolenAssists;participantId;pentaKills;physicalDamageDealt;physicalDamageDealtToChampions;physicalDamageTaken;profileIcon;puuid;quadraKills;riotIdName;riotIdTagline;role;sightWardsBoughtInGame;spell1Casts;spell2Casts;spell3Casts;spell4Casts;summoner1Casts;summoner1Id;summoner2Casts;summoner2Id;summonerId;summonerLevel;summonerName;teamEarlySurrendered;teamId;teamPosition;timeCCingOthers;timePlayed;totalDamageDealt;totalDamageDealtToChampions;totalDamageShieldedOnTeammates;totalDamageTaken;totalHeal;totalHealsOnTeammates;totalMinionsKilled;totalTimeCCDealt;totalTimeSpentDead;totalUnitsHealed;tripleKills;trueDamageDealt;trueDamageDealtToChampions;trueDamageTaken;turretKills;turretsLost;unrealKills;visionScore;visionWardsBoughtInGame;wardsKilled;wardsPlaced;win;timestamp;date;earlyLaningPhaseGoldExpAdvantage;laningPhaseGoldExpAdvantage;mythicItemUsed;baronBuffGoldAdvantageOverThreshold;earliestBaron;earliestDragonTakedown;highestChampionDamage;shortestTimeToAceFromFirstTakedown;junglerKillsEarlyJungle;killsOnLanersEarlyJungleAsJungler;firstTurretKilledTime;highestWardKills;highestCrowdControlScore;controlWardTimeCoverageInRiverOrEnemyHalf;teleportTakedowns;earliestElderDragon;fasterSupportQuestCompletion;thirdInhibitorDestroyedTime
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;197.47819837614966;0;206.1502659039121;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-22.000000029802322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;1;145;Kaisa;0;0;0;0;0;0;0;0;0;0;False;False;False;False;False;True;False;678;0;Invalid;0;0;0;2010;0;0;0;0;0;0;0;0;0;NONE;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;22;6sjCHPzvhOEyjXzAMYkOh008FUZ3ZT1b_WElrHDVTUnWHU99FhQP0giK51Dqryh969U4YzW8-eUttw;0;;;SUPPORT;0;0;0;0;0;0;4;0;3;GnPE14gbgiSr2eP_cRKvAQNkCD_XnvKlrgy7-RURivBG5yZI5c8sz6xSdA;70;Free Karlo Mplus;True;200;;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False;1655925162.188;06/22/2022 - 21:12:42;;;;;;;;;;;;;;;;;;
0;0;0;0;7;0;0;0;0;0;0;0;0;86.07326221014989;0.18623549630442685;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;200.95162476145583;0;332.21235887242676;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;17;0;0;10;2;1;-27.000000029802322;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16521191679331337;0;0;0;0;1;0;0;0;0;-1;0;0;0;0;564;2;145;Kaisa;0;1;213;213;213;268;1;0;0;0;False;False;False;False;False;True;False;1112;500;BOTTOM;0;0;0;1055;2003;2010;0;0;0;3340;3;0;0;NONE;0;0;0;194;388;20;68;0;0;0;0;0;0;9;0;4430;267;848;22;6sjCHPzvhOEyjXzAMYkOh008FUZ3ZT1b_WElrHDVTUnWHU99FhQP0giK51Dqryh969U4YzW8-eUttw;0;;;SUPPORT;0;5;2;0;0;1;4;1;3;GnPE14gbgiSr2eP_cRKvAQNkCD_XnvKlrgy7-RURivBG5yZI5c8sz6xSdA;70;Free Karlo Mplus;False;200;BOTTOM;0;200;4819;288;0;917;18;0;17;3;0;1;0;0;0;0;0;0;0;0;0;0;0;True;1655924336.186;06/22/2022 - 20:58:56;;;;;;;;;;;;;;;;;;
8;0;0;0;283;0;13.500000029802322;1;0;600;0;0;0;799.0324435319158;0.11727812134530051;0;3;23;0;0;0;0;0;0;0;0;0;0;0;0;1;1954.5284954691829;0;503.8101072561344;0;0;0;0;0;0;0;0;5;1;0.7142857142857143;0;0;0;0;4;0;0;3;67;0;0;91.5;0;1;-124.25000008940697;0;0;0;0;0;1;0;0;0;13;0;0;0;0;0;0;0;9;19;0;0;0;0;2;0;0;0;15;0;0;5;0;0;0;0.275861344473237;0;0;0;0;3;0;0;0;0;-0.6323450803756714;0.32365196805139984;2;1;0;17401;17;145;Kaisa;0;2;1275;3470;1275;10366;3;0;0;0;True;False;False;False;False;False;False;16411;15350;BOTTOM;0;0;5;1038;6672;3006;3046;3036;3031;3363;23;2;7;BOTTOM;770;3;1;1108;22761;5457;6294;16;0;1;0;0;0;9;0;228164;18011;9975;22;6sjCHPzvhOEyjXzAMYkOh008FUZ3ZT1b_WElrHDVTUnWHU99FhQP0giK51Dqryh969U4YzW8-eUttw;0;;;CARRY;0;110;38;130;5;4;4;6;3;GnPE14gbgiSr2eP_cRKvAQNkCD_XnvKlrgy7-RURivBG5yZI5c8sz6xSdA;70;Free Karlo Mplus;False;200;BOTTOM;3;1954;269375;26028;0;17949;808;0;297;64;79;1;0;18450;2559;1678;0;11;0;10;0;2;5;False;1655923614.258;06/22/2022 - 20:46:54;0;0;6672;;;;;;;;;;;;;;;
8;1;0;0;285;0;20.000000029802322;1;0;0;1;0;0;754.6611871219194;0.18862411734239679;0;3;26;0;2;0;0;0;0;4.800000011920929;0;0;0;0;0;0;1849.672565079843;0;556.7391632937737;0;0;0;0;0;0;0;0;7;4;0.5526315789473685;0;2;0;0;1;0;0;2;78;0;0;52.599999994039536;1;2;-113.00000005960464;0;0;5;1;0;2;0;0;0;15;0;0;0;0;0;0;2;20;14;0;0;1;5;5;0;2;0;21;0;0;4;1;0;1;0.23882288501072454;0;1;0;0;1;2;5;0;0;0.8265116214752197;0.8901504643494147;6;1;0;16674;17;145;Kaisa;0;2;4081;24918;4081;12475;3;0;5;0;True;False;False;False;False;False;False;17163;17180;BOTTOM;0;0;0;3026;6672;3006;6676;3031;3046;3363;23;2;13;BOTTOM;879;7;2;1058;16321;4773;9560;36;0;0;0;0;0;9;0;185665;16474;11491;22;6sjCHPzvhOEyjXzAMYkOh008FUZ3ZT1b_WElrHDVTUnWHU99FhQP0giK51Dqryh969U4YzW8-eUttw;0;;;CARRY;0;91;34;152;8;4;4;4;3;GnPE14gbgiSr2eP_cRKvAQNkCD_XnvKlrgy7-RURivBG5yZI5c8sz6xSdA;70;Free Karlo Mplus;False;200;BOTTOM;4;1849;215093;23264;0;22462;1183;0;246;54;72;1;0;13105;2016;1410;2;4;0;27;0;6;9;True;1655919426.042;06/22/2022 - 19:37:06;0;0;6672;1;1612.6819407284745;1397.1513036496717;1;16.585345279178455;;;;;;;;;;
10;2;3;0;366;0;155.5000002682209;2;0;450;2;0;1;885.1854077810184;0.1959338586106046;0;4;89;0;2;0;0;0;12;15;1;1;0;0;0;3;1917.291255898506;;508.46328330767494;0;0;4;2;0;52.00000008940697;0;0;5.25;1;0.4772727272727273;0;2;;0;0;0;5;3;12;0;0;156.700000166893;4;4;-50.99999997019768;0;0;2;1;0;3;0;0;0;16;0;0;0;0;0;0;6;27;36;0;0;2;3;1;1;8;0;21;0;0;4;0;0;2;0.20731301217330161;0;0;0;0;0;1;0;0;0;0.1267693042755127;1.050784791171033;6;3;0;20170;18;131;Diana;0;1;2761;33878;2761;44124;4;1;2;1;True;False;False;False;False;False;False;16247;13525;JUNGLE;0;0;0;3157;3165;4645;3020;1026;3152;3364;18;3;11;JUNGLE;0;4;2;814;231108;23081;5416;218;1;0;1;0;0;7;0;34280;3295;25470;22;6sjCHPzvhOEyjXzAMYkOh008FUZ3ZT1b_WElrHDVTUnWHU99FhQP0giK51Dqryh969U4YzW8-eUttw;0;;;NONE;0;142;92;121;11;4;4;22;11;GnPE14gbgiSr2eP_cRKvAQNkCD_XnvKlrgy7-RURivBG5yZI5c8sz6xSdA;70;Free Karlo Mplus;False;200;JUNGLE;13;1915;279593;28285;0;32230;11085;0;47;199;165;1;0;14204;1908;1342;1;3;0;33;1;6;2;True;1655761725.963;06/20/2022 - 23:48:45;0;0;3152;2;1366.1146745971073;1119.9853246806074;;;0;1;;;;;;;;
13;0;0;0;201;0;6.800000011920929;1;0;300;0;0;1;408.6195579331952;0.16420096921155858;0;10;9;0;2;0;0;0;40;0;0;0;0;0;0;2;2456.7060129904985;0;330.8977993226388;0;0;16;0;0;0;1;0;2.2;1;0.44;0;2;0;0;2;1;16;10;18;0;0;0;0;0;-113.00000008940697;0;0;0;0;0;2;0;0;0;18;0;0;0;0;0;0;0;39;38;0;0;1;2;42;0;1;0;22;0;1;7;0;0;1;0.09545845192525174;0;1;0;0;1;2;5;0;0;5.624189376831055;2.962322952614342;17;6;0;16397;16;555;Pyke;0;7;1881;7065;1881;28389;10;1;0;0;True;True;False;False;False;False;False;13548;12325;UTILITY;0;0;1;3142;6693;3857;3179;3117;3134;3364;33;2;9;MIDDLE;0;2;1;549;0;0;15217;6;0;1;0;0;0;5;0;41092;12451;16319;3160;7EQGVpAEes0J8gPl5oC1VTx_EICzVkKlYwFfA5hybFp7NLcx2j3GggXBKdJkd7m8oIbcwMNnQmnpjg;0;;;SUPPORT;0;72;67;42;20;7;4;7;14;fvXq_HydN1Zt7uZjnLJjOrncAE0M2j8MnaLajuVx9N8oMjE;339;Męrv;False;100;UTILITY;29;2456;53862;16730;0;34193;8341;0;60;114;312;1;0;12769;4279;2655;0;9;0;121;1;17;64;False;1655910886.562;06/22/2022 - 17:14:46;0;0;6693;1;1874.6241555909855;1637.560475841824;;;;;855.9249366479404;1;;;;;;
25;0;0;0;147;0;0;0;0;300;0;0;0;1198.0700653737547;0.3387239177084993;0;14;91;0;0;0;0;0;68;0;0;0;0;0;0;11;1113.728392855921;0;641.2157752506322;0;0;11;0;0;0;0;2;2.142857142857143;3;0.43478260869565216;0;3;0;0;1;0;0;5;27;0;0;21;0;2;-24;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;67;23;10;0;0;0;0;0;4;0;30;0;3;28;0;0;0;0.13100737001793172;0;0;0;1;0;2;0;0;0;-1;0;0;0;0;18509;18;14;Sion;0;2;1676;1676;1676;101485;14;0;0;0;True;False;False;True;False;False;True;11902;11100;Invalid;0;0;1;3068;3111;3083;3110;3067;1028;2052;25;1;5;NONE;0;2;1;85;30300;10010;23891;0;0;0;0;0;0;5;0;25248;10127;36809;3160;7EQGVpAEes0J8gPl5oC1VTx_EICzVkKlYwFfA5hybFp7NLcx2j3GggXBKdJkd7m8oIbcwMNnQmnpjg;0;;;SUPPORT;0;64;36;39;8;4;4;22;32;fvXq_HydN1Zt7uZjnLJjOrncAE0M2j8MnaLajuVx9N8oMjE;339;Męrv;False;100;;49;1113;61149;22238;0;63298;2778;0;51;695;301;1;0;5600;2100;2597;1;4;0;0;0;0;0;False;1655907237.384;06/22/2022 - 16:13:57;0;0;3068;;;;;;;;444.4896169686703;;1;;;;;
4;0;0;0;295;0;8.500000029802322;0;0;875;0;0;4;761.5640460468816;0.2620985488260046;0;7;13;0;0;0;0;0;38;0;0;0;0;0;0;2;1755.8027547924514;0;420.3607408978267;0;0;3;0;0;0;0;0;1.7142857142857142;3;0.36363636363636365;0;4;0;0;1;0;5;0;55;0;0;14.25;0;1;-106.00000005960464;0;0;0;0;0;1;0;0;0;8;0;0;0;0;1;0;0;36;1;0;0;3;0;6;0;2;0;12;0;0;3;1;0;1;0.23886899308326845;0;1;0;0;1;0;0;0;0;0.27508115768432617;0.9527112606837248;4;2;1;15794;16;164;Camille;0;5;1547;8141;1547;29583;7;4;0;0;True;False;False;False;False;False;False;12301;12333;TOP;0;0;1;3074;3078;6333;3047;1036;0;3364;28;2;8;TOP;0;3;1;516;467;467;13943;10;0;1;0;0;0;6;0;102556;14714;16663;3160;7EQGVpAEes0J8gPl5oC1VTx_EICzVkKlYwFfA5hybFp7NLcx2j3GggXBKdJkd7m8oIbcwMNnQmnpjg;0;;;SOLO;0;172;42;74;7;3;12;6;14;fvXq_HydN1Zt7uZjnLJjOrncAE0M2j8MnaLajuVx9N8oMjE;338;Męrv;False;200;TOP;24;1755;136480;22285;0;32998;4150;0;158;153;223;1;0;33455;7104;2391;0;9;0;27;4;4;10;False;1655866941.599;06/22/2022 - 05:02:21;0;0;3078;;1357.9185841098206;;;;;;;1;;0.3760184183502382;1;;;
2;0;0;0;232;0;69.60000011324883;0;0;0;0;0;2;559.0993692595493;0.30317637453726753;0;2;8;0;3;0;0;0;7;5.500000029802322;0;0;0;0;0;0;1299.9846636051914;;449.2743656963844;0;0;2;2;1;64.00000008940697;0;0;5;3;0.3333333333333333;0;5;;0;0;0;0;0;7;0;0;31.30000004172325;0;2;-45.99999997019768;1;0;1;0;0;1;0;0;0;8;0;0;0;0;2;0;5;15;0;0;0;2;2;1;0;0;0;10;0;0;6;0;0;0;0.17480160563363628;0;2;0;0;2;0;0;0;0;0.3540780544281006;0.7542912776956486;2;2;0;11745;14;141;Kayn;1;2;0;41785;0;18320;2;2;1;3;True;True;False;False;False;False;True;9734;9050;JUNGLE;0;0;0;3047;6333;1036;1036;0;6630;3364;18;1;8;JUNGLE;0;7;2;960;6827;0;9135;125;0;0;0;0;0;2;0;123980;11310;15917;3160;7EQGVpAEes0J8gPl5oC1VTx_EICzVkKlYwFfA5hybFp7NLcx2j3GggXBKdJkd7m8oIbcwMNnQmnpjg;0;;;NONE;0;143;52;29;8;13;11;3;4;fvXq_HydN1Zt7uZjnLJjOrncAE0M2j8MnaLajuVx9N8oMjE;338;Męrv;False;100;JUNGLE;13;1299;149212;12113;0;26095;12567;0;28;187;76;1;0;18405;802;1043;0;1;0;16;2;2;3;True;1655864832.562;06/22/2022 - 04:27:12;0;0;6630;;;491.799826271412;;;0;2;898.1335330388438;;;0.1000500064968854;;;;
3;0;0;0;132;0;3.5;0;0;675;0;0;1;722.0412338439119;0.1924735380545706;0;6;31;0;0;0;0;0;0;0;0;0;0;0;0;1;1471.9000109483306;0;444.43966120091557;0;0;0;0;0;0;0;0;1.6666666666666667;2;0.3448275862068966;0;3;2;0;2;0;0;0;54;0;0;40.75;0;2;-104.00000008940697;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;13;0;0;0;1;3;6;0;1;0;10;0;1;5;0;0;0;0.22950414685686973;0;1;0;0;3;1;0;0;0;-0.6365846395492554;0.6187117291041678;1;1;0;11194;13;86;Garen;0;2;4375;5372;4375;24014;6;1;0;0;True;False;True;False;False;False;True;10902;10825;TOP;0;0;1;6631;3033;3742;3006;1033;0;3340;22;2;7;TOP;378;3;1;732;0;0;11538;4;0;0;0;0;0;1;0;90392;13979;12201;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;SOLO;0;69;14;44;5;6;14;4;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;100;TOP;33;1471;95787;17712;0;26009;1964;0;139;105;183;1;0;5395;3733;2269;1;6;0;15;1;1;7;False;1655933441.412;06/22/2022 - 23:30:41;0;0;6631;;;;;;;;;;;;;;;
12;0;1;0;230;0;2.0000000298023224;0;0;0;0;0;0;915.3046845811957;0.14705113318402022;0;8;105;0;2;0;0;0;0;0;1;0;1;1;0;3;1863.3740105;0;403.17687816449774;0;0;0;0;0;0;0;0;2.25;2;0.6;0;1;0;0;1;0;0;13;70;0;0;44.60000002384186;0;2;-114.00000005960464;0;0;1;0;0;3;0;0;0;15;0;0;0;0;0;0;0;24;115;0;0;3;3;6;0;0;0;18;0;0;4;0;0;0;0.28549377855923447;0;0;0;0;1;0;0;0;0;-0.4131179451942444;0.3336840071750336;2;1;0;15299;16;21;MissFortune;0;2;562;3965;562;10769;8;0;1;2;True;False;False;False;False;False;False;12521;11400;BOTTOM;0;0;2;3042;6692;6694;3158;3134;1036;3340;24;1;6;BOTTOM;768;2;2;396;20288;5060;4389;10;0;1;0;1;0;9;0;123029;22651;15225;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;CARRY;0;71;77;71;11;4;3;4;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;200;BOTTOM;19;1863;152876;28425;0;20270;571;0;205;368;241;1;0;9559;714;656;0;10;0;10;0;2;6;False;1655926182.91;06/22/2022 - 21:29:42;0;0;6692;;;888.6497657;;;;;;;;;;;;
4;0;1;0;142;0;0;0;0;0;0;0;1;561.3335646260477;0.10960779395147864;0;1;63;0;0;0;0;0;0;0;0;0;0;0;0;0;1240.2228457535477;0;405.0433085987305;0;0;0;0;0;0;0;0;10;0;0.43478260869565216;0;0;1;0;1;0;0;8;56;0;0;2;1;1;-111.50000005960464;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;52;33;0;0;0;1;4;0;14;0;10;0;0;8;1;0;0;0.24345342976156886;0;1;0;0;2;0;0;0;0;0.170812726020813;0.917770742493306;2;2;1;7498;11;21;MissFortune;0;3;1577;1577;1577;2661;1;1;0;0;True;False;False;False;False;False;True;8372;7525;BOTTOM;0;0;0;3042;6692;1036;3158;1036;0;3340;15;1;6;BOTTOM;515;5;1;1089;13424;3319;3752;0;0;0;0;0;0;9;0;55145;8097;2392;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;CARRY;0;48;47;45;2;3;3;3;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;200;BOTTOM;15;1240;71621;11602;0;6620;0;0;148;258;33;0;0;3051;186;476;0;1;0;18;1;2;5;True;1655923993.491;06/22/2022 - 20:53:13;0;0;6692;;;;;;;;828.2706435986264;;1;;;;;
7;0;0;0;230;0;7;1;0;450;0;0;0;1214.606493460128;0.16399183195404102;0;9;110;0;2;0;0;0;0;0;0;1;0;0;0;1;1928.3162747449005;0;474.5648344803092;0;0;0;0;0;0;1;0;2.111111111111111;1;0.5588235294117647;0;3;1;0;3;0;0;8;66;0;0;39.99999997019768;0;1;-122.00000008940697;0;0;2;0;0;6;0;0;0;14;0;0;0;0;0;0;0;43;112;0;0;3;2;8;0;2;0;19;0;0;7;0;0;1;0.3132372661907757;0;0;0;0;4;2;0;0;0;-0.26226598024368286;0.46213657425715227;2;2;0;15488;16;21;MissFortune;0;2;7187;18848;7187;13927;9;0;2;1;True;False;False;False;False;False;False;15251;13500;BOTTOM;0;0;1;2421;3158;6694;6692;3814;3042;3340;23;5;12;BOTTOM;820;2;2;439;19869;4042;9473;16;0;1;0;0;0;4;0;147477;32667;13235;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;CARRY;0;69;85;66;10;7;3;5;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;100;BOTTOM;24;1928;171309;39035;0;24812;1120;0;196;530;244;1;0;3961;2325;2103;2;9;0;14;0;2;8;False;1655922084.377;06/22/2022 - 20:21:24;0;0;6692;;1578.8943647354804;883.1759223004233;;;;;835.041099134703;;1;;;;;
17;0;0;0;184;0;0;0;0;300;2;0;3;281.96723890542097;0.1709149968200507;0;7;27;0;0;0;0;0;65;8;0;0;0;0;0;0;2241.8946339215895;;241.73509369038197;0;0;10;0;0;4;0;0;2.5714285714285716;5;0.46153846153846156;0;0;;0;0;0;7;0;13;0;0;0;0;1;-113.00000005960464;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;49;16;0;0;0;1;21;0;4;0;18;0;0;5;0;0;0;0.06968687250903874;0;1;0;0;0;2;10;0;0;0.741693377494812;1.6918403061711778;3;3;0;14421;15;53;Blitzcrank;0;5;311;311;311;41550;7;3;0;0;True;False;False;False;False;False;True;9032;8325;UTILITY;0;0;2;3857;3001;3050;3047;3067;3801;3364;24;0;1;JUNGLE;0;0;1;697;14296;5834;17842;8;0;0;0;0;0;10;0;10065;3698;15107;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;NONE;0;57;63;48;16;8;3;8;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;200;UTILITY;76;2241;31424;10535;0;35775;1798;0;27;534;220;1;0;7061;1003;2826;0;8;0;63;3;3;24;False;1655919728.815;06/22/2022 - 19:42:08;0;0;3001;;;;;;0;0;741.1639840139469;;;0.04921329948547856;;;;
